Filename;ActivityName;Location;ReferenceProduct
01bd0011-b131-4b30-abb6-1c12b60d1b1c_fddec70e-92df-47a8-8bf7-d8ca37b2708d.spold;transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO5, carbon dioxide, liquid refrigerant, freezing;GLO;transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO5, carbon dioxide, liquid refrigerant, freezing
01bd4fe5-7208-4c1d-8195-150580abe785_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, nuclear, boiling water reactor;US-RFC;electricity, high voltage
01c0907d-9030-4e24-be24-c449b8c0d766_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hydro, reservoir, non-alpine region;CA-SK;electricity, high voltage
01c21c73-b45d-4d27-a84e-f59d85cbe91e_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, wind, 1-3MW turbine, onshore;AR;electricity, high voltage
01c7dbf9-c265-4d6e-b82f-c40b5c55eaf0_137e2c15-2e4a-4bf4-a1e4-a630a87b2cb7.spold;market for sawnwood, beam, hardwood, raw, dried (u=20%);Europe without Switzerland;sawnwood, beam, hardwood, raw, dried (u=20%)
01cf6dae-6bcb-4e6b-ba8f-1172fac9bbcc_3b01838a-28d0-43f5-8024-3fad9a5392c2.spold;clinker production;CH;sewage sludge, dried
01cf9d9a-87b5-4f0f-a1e5-6bbef6fc30ed_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hard coal;KR;electricity, high voltage
01cff1f6-03ff-4ae8-a7ea-8b978aa91c56_3f5f5aef-3833-43d4-8b81-44123105afd7.spold;irrigation, surface;ZA;irrigation
01d44f9d-3126-456b-845a-41dc66e73a8c_b8e7c209-349c-4f20-956b-533119feab30.spold;market for heavy fuel oil, burned in refinery furnace;GLO;heavy fuel oil, burned in refinery furnace
01d826f8-e46c-443c-8d89-a3d90b1e251a_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hard coal;CN-AH;electricity, high voltage
01d9327e-a971-477f-968f-4034ef80dcc6_4f41bd8f-2435-41c8-8a3f-3810f0210766.spold;acrylic varnish production, product in 87.5% solution state;RoW;acrylic varnish, without water, in 87.5% solution state
01dadda2-8c4c-4eea-8917-9057b1253cb9_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;market for electricity, medium voltage;CA-QC;electricity, medium voltage
01dc2265-47fd-4bd2-9b60-cc12d1ef4273_349c8ac6-ae0a-401e-9134-622b1a3be0ff.spold;market for glycerin distillate bottom;GLO;glycerin distillate bottom
01e8e19b-e769-48e3-802d-eeb0c451d96a_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;heat production, at coal coke industrial furnace 1-10MW;CA-QC;heat, district or industrial, other than natural gas
01eb2c61-13c4-4e90-90f7-4e01b7041dca_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;electricity voltage transformation from high to medium voltage;BG;electricity, medium voltage
01ec13f2-d152-4cf2-b066-a67432195433_029abc12-645e-4f5a-9ece-f50a76b0910e.spold;market for wastewater from vegetable oil refinery;GLO;wastewater from vegetable oil refinery
01f05555-2f1b-43d8-a009-4b3c0f91084c_86247d21-f010-4ce3-a76d-0050837ddfc0.spold;green manure growing, Swiss integrated production, until January;CH;green manure, Swiss integrated production, until January
